2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.257s)
2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.258s)
2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.267s)
2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.267s)
2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.185s)
2025-06-26 15:25:38 - TradingBot - INFO - API GET MEXC_API/api/v3/trades - 200 (0.295s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/ticker/bookTicker - 200 (0.062s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.113s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.111s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.113s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.114s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.114s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.122s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.124s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.129s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.129s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.175s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.125s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.226s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.227s)
2025-06-26 15:25:40 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.228s)
2025-06-26 15:25:41 - TradingBot - INFO - API GET MEXC_API/api/v3/klines - 200 (0.312s)
2025-06-26 15:25:41 - TradingBot - INFO - [CREATE] Создание уведомления для MG8
2025-06-26 15:25:41 - TradingBot - INFO - [15:25:41] MG8 STARTED - Volume: $2,061.54
2025-06-26 15:25:42 - TradingBot - INFO - API GET MEXC_API/api/v3/ticker/bookTicker - 200 (0.086s)
